eng,dutch,lev
parallelogram,parallellogram,0.92857
cyprus,cyprus,1
aggression,agressie,0.7
electricity,elektriciteit,0.69231
originality,originaliteit,0.76923
tingle,tintelen,0.625
hardness,hardheid,0.625
mackerel,makreel,0.625
hormone,hormoon,0.71429
co-operation,coöperatie,0.66667
regional,regionaal,0.88889
microbe,microbe,1
politician,politicus,0.7
prize,prijs,0.6
obstruction,obstructie,0.81818
solid,solide,0.83333
succession,successie,0.8
charter,charter,1
bacon,bacon,1
pulse,pols,0.6
blouse,bloes,0.66667
blouse,blouse,1
puppy,puppy,1
puppy,pup,0.6
thunder,donder,0.57143
fossil,fossiel,0.85714
numeral,nummer,0.57143
admiral,admiraal,0.875
specialist,specialist,1
splinter,splinter,1
specialise,specialiseren,0.76923
china,china,1
cult,cultus,0.66667
calculate,calculeren,0.7
substance,substantie,0.8
controversy,controverse,0.90909
spin,spinnen,0.57143
military,militair,0.75
golden,gouden,0.83333
golden,gulden,0.83333
remnant,restant,0.71429
cocaine,cocaïne,0.75
unit,unit,1
sexual,sexueel,0.71429
cannibal,kannibaal,0.77778
moth,mot,0.75
passport,paspoort,0.75
relax,relaxen,0.71429
successful,succesvol,0.7
glass,glas,0.8
hole,hol,0.75
imperialism,imperialisme,0.91667
artillery,artillerie,0.8
absolute,absoluut,0.75
machine,machine,1
how,hoe,0.66667
hop,hop,1
turk,turk,1
classify,classificeren,0.53846
abstraction,abstractie,0.81818
beauty,beauty,1
siberia,siberië,0.75
effective,effectief,0.77778
revolt,revolteren,0.6
alias,alias,1
democratic,democratisch,0.83333
dreamer,dromer,0.71429
auditory,auditorium,0.7
yeti,yeti,1
interrupt,interrumperen,0.61538
scholar,scholier,0.75
toll,tol,0.75
financial,financieel,0.8
crocus,krokus,0.66667
ring,kring,0.8
ring,ring,1
diction,dictie,0.71429
foundation,foundation,1
enormous,enorm,0.625
moment,moment,1
silicon,silicium,0.625
speedy,spoedig,0.57143
whirlwind,wervelwind,0.6
instruct,instrueren,0.6
specially,speciaal,0.77778
basketball,basketbal,0.9
service,service,1
engagement,engagement,1
tango,tango,1
master,meester,0.71429
architect,architect,1
woe,wee,0.66667
bitter,bitter,1
listen,beluisteren,0.54545
listen,luisteren,0.66667
relative,relatief,0.75
lavender,lavendel,0.875
nirvana,nirwana,0.85714
white,wit,0.6
rabbi,rabbijn,0.71429
rabbi,rabbi,1
elegant,elegant,1
project,projecteren,0.63636
project,project,1
urinate,urineren,0.625
dozen,dozijn,0.66667
kidnap,kidnappen,0.66667
person,persoon,0.85714
person,personage,0.66667
metallic,metalen,0.625
divan,divan,1
season,seizoen,0.57143
object,object,1
letter,letter,1
organization,organisatie,0.75
drought,droogte,0.57143
morality,moraliteit,0.7
singer,zanger,0.66667
episode,episode,1
professor,professor,1
camp,kamp,0.75
nettle,netel,0.66667
incomplete,incompleet,0.8
bomb,bom,0.75
presentation,presentatie,0.83333
participate,participeren,0.75
hungary,hongarije,0.55556
menu,menu,1
bust,buste,0.8
population,populatie,0.8
plate,plak,0.6
plate,plaat,0.6
psychiatric,psychiatrisch,0.84615
jaguar,jaguar,1
welcome,verwelkomen,0.54545
welcome,welkom,0.71429
fair,fair,1
radius,radius,1
radius,actieradius,0.54545
result,resulteren,0.6
result,resultaat,0.66667
best,best,1
jargon,jargon,1
solace,soelaas,0.57143
side,zijde,0.6
nature,natuur,0.66667
souvenir,souvenir,1
accident,accident,1
stow,stouwen,0.57143
sublime,subliem,0.71429
logic,logica,0.83333
parable,parabel,0.71429
blonde,blond,0.83333
chrome,chroom,0.66667
interpret,interpreteren,0.69231
stadium,stadium,1
stadium,stadion,0.71429
privilege,privilege,1
pancreas,pancreas,1
incompetent,incompetent,1
eastern,oosters,0.57143
onyx,onyx,1
commerce,commercie,0.88889
calcium,calcium,1
doormat,deurmat,0.71429
equator,equator,1
harmony,harmonie,0.75
boiler,boiler,1
academic,academisch,0.8
academic,academicus,0.8
eroticism,erotiek,0.55556
distribute,distribueren,0.75
alum,aluin,0.6
ham,ham,1
sterile,steriel,0.71429
thermometer,thermometer,1
gangrene,gangreen,0.75
shadow,schaduw,0.71429
psychological,psychologisch,0.76923
right,recht,0.6
old,oud,0.66667
creek,beek,0.6
crown,kroon,0.6
prick,prikken,0.57143
prick,prik,0.8
prick,pik,0.6
sociology,sociologie,0.8
creative,creatief,0.75
hindu,hindoe,0.66667
post,post,1
trampoline,trampoline,1
stutter,stotteren,0.66667
defensive,defensief,0.77778
anagram,anagram,1
lackey,lakei,0.66667
facility,faciliteit,0.7
yen,yen,1
gargle,gorgelen,0.625
constantly,constant,0.8
tame,tam,0.75
vector,vector,1
offer,offreren,0.625
offer,offerte,0.71429
fascination,fascinatie,0.81818
shoot,loot,0.6
hemisphere,hemisfeer,0.7
myopia,myopie,0.83333
palm,palm,1
passenger,passagier,0.66667
sight,zicht,0.6
accounting,accountancy,0.72727
eventual,eventueel,0.77778
floor,vloer,0.6
actor,acteur,0.66667
flood,vloed,0.6
republic,republiek,0.77778
ambitious,ambitieus,0.88889
breadth,breedte,0.71429
irrigation,irrigatie,0.8
crocodile,krokodil,0.66667
per,per,1
ballet,ballet,1
uneven,oneffen,0.57143
uneven,oneven,0.83333
calorie,calorie,1
recipe,recept,0.66667
thermos,thermosfles,0.63636
minute,minuut,0.66667
team,team,1
bulldozer,bulldozer,1
sign,signaal,0.57143
erotic,erotisch,0.75
melt,smelten,0.57143
ground,grond,0.83333
badge,badge,1
magnetism,magnetisme,0.9
address,adres,0.71429
brilliant,briljant,0.77778
stencil,stencil,1
therein,erin,0.57143
synonym,synoniem,0.75
radish,radijs,0.66667
prefer,prefereren,0.6
logical,logisch,0.57143
bloody,bloedig,0.57143
working,werken,0.57143
positive,positief,0.75
refrain,refrein,0.85714
visual,visueel,0.71429
appendix,appendix,1
degrade,degraderen,0.7
wool,wol,0.75
pretend,pretenderen,0.63636
abortion,abortus,0.625
snot,snot,1
romanticism,romantiek,0.63636
soup,soep,0.75
parachute,parachute,1
litre,liter,0.6
winter,winter,1
immune,immuun,0.66667
parameter,parameter,1
edinburgh,edinburgh,1
jazz,jazz,1
spot,spat,0.75
stress,stress,1
mango,mango,1
mango,manga,0.8
footstep,voetstap,0.625
epilepsy,epilepsie,0.77778
tendency,tendens,0.75
accordion,accordeon,0.88889
attraction,attractie,0.8
antipathy,antipathie,0.8
swastika,swastika,1
ideal,ideaal,0.83333
insomnia,insomnie,0.875
nation,natie,0.66667
amulet,amulet,1
pastille,pastille,1
nil,nul,0.66667
bowling,bowling,1
quarter,kwartier,0.625
warmly,warm,0.66667
minority,minoriteit,0.7
canvas,canvas,1
container,container,1
formula,formule,0.85714
million,miljoen,0.57143
seventy,zeventig,0.625
training,training,1
flanders,vlaanderen,0.6
antenna,antenne,0.85714
emotion,emotie,0.71429
intuition,intuïtie,0.55556
saving,besparing,0.55556
symmetry,symmetrie,0.77778
clause,clausule,0.75
periodical,periodiek,0.7
spanish,spaans,0.57143
open,openen,0.66667
open,open,1
boulevard,boulevard,1
bite,bijten,0.66667
shawl,sjaal,0.6
ridiculous,ridicuul,0.7
boyfriend,vriend,0.55556
iceberg,ijsberg,0.71429
argument,argument,1
balsam,balsem,0.83333
pornography,pornografie,0.72727
zoo,zoo,1
note,notitie,0.57143
note,noteren,0.57143
note,nota,0.75
poster,poster,1
knee,knie,0.75
wind,wind,1
surplus,surplus,1
lotus,lotus,1
diode,diode,1
atom,atoom,0.8
aggressive,agressief,0.7
hockey,hockey,1
hockey,ijshockey,0.66667
dispute,dispuut,0.71429
psychiatrist,psychiater,0.66667
assistant,assistent,0.88889
assistant,assistente,0.8
gazette,gazet,0.71429
artist,artiest,0.85714
assimilate,assimileren,0.72727
vision,visie,0.66667
vision,visioen,0.85714
keyboard,keyboard,1
diver,duiker,0.66667
morocco,marokko,0.57143
bureau,bureel,0.66667
bureau,bureau,1
supermarket,supermarkt,0.90909
adept,adept,1
spare,sparen,0.83333
spare,uitsparen,0.55556
spare,besparen,0.625
millionaire,miljonair,0.72727
personal,persoonlijk,0.54545
boat,boot,0.75
almighty,almachtig,0.55556
cosine,cosinus,0.71429
reflex,reflex,1
observe,observeren,0.7
diffuse,diffuus,0.71429
jute,jute,1
fin,vin,0.66667
pretence,pretentie,0.77778
situation,situatie,0.77778
penthouse,penthouse,1
aluminium,aluminium,1
canoe,kano,0.6
canon,canon,1
binary,binair,0.66667
parliament,parlement,0.8
barber,barbier,0.85714
advertisement,advertentie,0.53846
vacant,vacant,1
dimension,dimensie,0.77778
sceptre,scepter,0.71429
generator,generator,1
silver,zilver,0.83333
silver,zilveren,0.625
skunk,skunk,1
around,rond,0.66667
vacuum,vacuüm,0.71429
world,wereld,0.66667
clan,clan,1
amputation,amputeren,0.6
amputation,amputatie,0.8
preference,preferentie,0.81818
superiority,superioriteit,0.76923
claw,klauw,0.6
polo,polo,1
noon,noen,0.75
lend,lenen,0.6
leadership,leiderschap,0.72727
frenchman,fransman,0.66667
rosemary,rozemarijn,0.6
industry,industrie,0.77778
slender,tenger,0.57143
meal,meel,0.75
meal,maal,0.75
act,act,1
act,actie,0.6
jasper,jaspis,0.66667
wasp,wesp,0.75
complete,compleet,0.75
complete,completeren,0.72727
monopoly,monopolie,0.77778
flirt,flirten,0.71429
west,west,1
west,westen,0.66667
rust,roest,0.6
ah,ach,0.66667
ah,ah,1
as,als,0.66667
cathedral,kathedraal,0.8
yoga,yoga,1
psychiatry,psychiatrie,0.81818
thorn,doorn,0.6
mask,masker,0.66667
kilogram,kilogram,1
mast,mast,1
mass,massa,0.8
original,origineel,0.77778
ceramic,keramisch,0.66667
pornographic,pornografisch,0.69231
to,tot,0.66667
norm,norm,1
condition,conditie,0.77778
dinosaur,dinosauriër,0.66667
dinosaur,dinosaurus,0.8
pass,pass,1
pass,pas,0.75
investment,investering,0.63636
clock,klok,0.6
pirate,piraat,0.66667
method,methode,0.85714
contrast,contrast,1
contrast,contrasteren,0.66667
solidarity,solidariteit,0.75
legend,legende,0.85714
sender,afzender,0.625
sender,zender,0.83333
vietnamese,vietnamees,0.8
hamster,hamster,1
action,actie,0.66667
vest,vest,1
select,selecteren,0.6
literary,literair,0.75
petroleum,petroleum,1
pearl,parel,0.6
ballad,ballade,0.85714
company,compagnie,0.66667
telephone,telefoneren,0.54545
telephone,telefoon,0.66667
nomad,nomade,0.83333
learn,leren,0.6
ingredient,ingrediënt,0.81818
stewardess,stewardess,1
prompt,prompt,1
gallop,galop,0.83333
accept,accepteren,0.6
kenya,kenia,0.8
schoolgirl,schoolmeisje,0.58333
gallon,gallon,1
impulse,impuls,0.85714
plant,beplanten,0.55556
plant,plant,1
lanky,lang,0.6
plane,plan,0.8
authentic,authentiek,0.8
flutter,flirten,0.57143
register,register,1
register,registreren,0.72727
fundamental,fundamenteel,0.83333
geographic,geografisch,0.63636
mexican,mexicaan,0.875
mexican,mexicaans,0.77778
embassy,ambassade,0.55556
astrology,astrologie,0.8
sensual,sensueel,0.75
poetic,poëtisch,0.55556
sauce,saus,0.6
colleague,collega,0.66667
gadget,gadget,1
eloquence,eloquentie,0.8
lantern,lantaarn,0.75
week,week,1
england,engeland,0.875
resolute,resoluut,0.75
reduce,reduceren,0.66667
prose,proza,0.6
operation,operatie,0.77778
lipstick,lippenstift,0.54545
