"recodedPP_ID";"PP_ID";"age";"sexe";"logindate";"location";"testProc"
"1";"1";"17";"M";"2003-11-28 00:00:00";"0";"print"
"2";"2";"17";"M";"2003-11-28 00:00:00";"0";"print"
"3";"3";"0";"M";"2003-11-28 00:00:00";"0";"print"
"4";"4";"17";"X";"2003-11-28 00:00:00";"0";"print"
"5";"5";"17";"F";"2003-11-28 00:00:00";"0";"print"
"6";"6";"17";"F";"2003-11-28 00:00:00";"0";"print"
"7";"7";"17";"M";"2003-11-28 00:00:00";"0";"print"
"8";"8";"17";"X";"2003-11-28 00:00:00";"0";"print"
"9";"9";"18";"M";"2003-11-25 00:00:00";"0";"print"
"10";"10";"18";"M";"2003-11-25 00:00:00";"0";"print"
"11";"11";"18";"F";"2003-11-26 00:00:00";"0";"print"
"12";"12";"19";"F";"2003-11-26 00:00:00";"0";"print"
"13";"13";"18";"F";"2003-11-26 00:00:00";"0";"print"
"14";"14";"20";"X";"2003-11-26 00:00:00";"0";"print"
"15";"15";"18";"F";"2003-11-26 00:00:00";"0";"print"
"16";"16";"16";"M";"2003-11-28 00:00:00";"0";"print"
"17";"17";"17";"F";"2003-11-28 00:00:00";"0";"print"
"18";"18";"18";"F";"2004-02-20 00:00:00";"0";"print"
"19";"19";"17";"F";"2003-12-01 00:00:00";"0";"print"
"20";"20";"17";"F";"2003-11-28 00:00:00";"0";"print"
"21";"21";"17";"M";"2003-11-28 00:00:00";"0";"print"
"22";"22";"17";"M";"2003-11-28 00:00:00";"0";"print"
"23";"23";"18";"F";"2003-11-25 00:00:00";"0";"print"
"24";"24";"0";"X";"2003-11-28 00:00:00";"0";"print"
"25";"25";"17";"X";"2003-11-28 00:00:00";"0";"print"
"26";"26";"18";"M";"2003-11-28 00:00:00";"0";"print"
"27";"27";"17";"M";"2003-11-28 00:00:00";"0";"print"
"28";"28";"17";"M";"2003-11-28 00:00:00";"0";"print"
"29";"29";"18";"M";"2003-11-28 00:00:00";"0";"print"
"30";"30";"16";"M";"2003-11-28 00:00:00";"0";"print"
"31";"31";"20";"F";"2004-02-20 00:00:00";"0";"print"
"32";"32";"17";"M";"2003-11-28 00:00:00";"0";"print"
"33";"33";"17";"M";"2003-11-28 00:00:00";"0";"print"
"34";"34";"18";"F";"2003-11-28 00:00:00";"0";"print"
"35";"35";"18";"M";"2003-11-28 00:00:00";"0";"print"
"36";"36";"17";"M";"2003-11-28 00:00:00";"0";"print"
"37";"37";"17";"F";"2003-12-01 00:00:00";"0";"print"
"38";"38";"17";"M";"2003-11-28 00:00:00";"0";"print"
"39";"39";"17";"X";"2003-11-28 00:00:00";"0";"print"
"40";"40";"18";"M";"2003-11-28 00:00:00";"0";"print"
"41";"41";"17";"M";"2003-11-28 00:00:00";"0";"print"
